Google Trends: (United States),,,
,,,
Week,News:,Search:,People:
1/6/2019,97,19,34
1/13/2019,93,18,34
1/20/2019,100,19,34
1/27/2019,92,19,35
2/3/2019,88,18,35
2/10/2019,90,18,36
2/17/2019,87,18,35
2/24/2019,90,17,35
3/3/2019,86,17,36
3/10/2019,95,18,35
3/17/2019,89,18,35
3/24/2019,87,18,33
3/31/2019,84,18,35
4/7/2019,83,17,34
4/14/2019,89,18,35
4/21/2019,87,17,37
4/28/2019,82,18,35
5/5/2019,87,18,34
5/12/2019,82,18,34
5/19/2019,88,18,33
5/26/2019,88,17,32
6/2/2019,81,18,30
6/9/2019,82,18,29
6/16/2019,86,18,30
6/23/2019,84,18,30
6/30/2019,95,16,28
7/7/2019,87,17,29
7/14/2019,85,18,30
7/21/2019,85,18,28
7/28/2019,86,18,28
8/4/2019,92,18,29
8/11/2019,87,19,28
8/18/2019,84,18,29
8/25/2019,92,18,29
9/1/2019,93,17,31
9/8/2019,81,17,34
9/15/2019,85,18,33
9/22/2019,90,18,35
9/29/2019,88,18,33
10/6/2019,89,17,33
10/13/2019,85,18,33
10/20/2019,84,18,33
10/27/2019,88,17,32
11/3/2019,83,18,34
11/10/2019,84,16,35
11/17/2019,84,17,35
11/24/2019,73,14,30
12/1/2019,79,17,33
12/8/2019,82,17,33
12/15/2019,90,16,31
12/22/2019,77,14,28
12/29/2019,91,16,30
