Google Trends: (United States),,,,,
,,,,,
Week,Weather:,Coronavirus:,News: ,Music:,Sports:
1/5/2020,23,<1,14,3,3
1/12/2020,26,<1,11,3,3
1/19/2020,21,4,12,3,3
1/26/2020,16,13,13,3,3
2/2/2020,24,7,13,3,3
2/9/2020,22,6,11,3,2
2/16/2020,20,4,11,3,3
2/23/2020,20,17,12,3,2
3/1/2020,20,32,13,3,2
3/8/2020,21,74,19,3,2
3/15/2020,18,100,27,3,2
3/22/2020,16,77,23,3,2
3/29/2020,15,59,18,3,2
4/5/2020,18,58,15,3,2
4/12/2020,18,46,14,4,2
4/19/2020,17,36,14,4,2
4/26/2020,16,21,13,4,2
5/3/2020,17,18,11,3,2
5/10/2020,19,16,12,3,2
5/17/2020,20,14,11,3,2
5/24/2020,22,11,12,3,2
5/31/2020,20,9,19,3,2
6/7/2020,19,9,12,3,2
6/14/2020,17,10,12,3,2
6/21/2020,20,11,13,3,2
6/28/2020,18,13,12,3,2
7/5/2020,19,12,12,3,2
7/12/2020,16,11,13,3,2
7/19/2020,19,9,12,3,2
7/26/2020,19,8,13,3,2
8/2/2020,18,7,12,3,2
8/9/2020,17,6,12,3,2
8/16/2020,18,5,12,3,2
8/23/2020,20,5,12,3,2
8/30/2020,16,4,11,3,2
9/6/2020,19,4,11,3,2
9/13/2020,15,4,11,3,3
9/20/2020,15,4,11,3,3
9/27/2020,17,5,13,3,3
10/4/2020,15,4,13,3,3
10/11/2020,17,4,12,3,3
10/18/2020,19,4,12,3,3
10/25/2020,21,5,12,3,2
11/1/2020,14,3,23,2,2
11/8/2020,19,5,15,3,2
11/15/2020,16,6,14,3,2
11/22/2020,16,4,12,3,2
11/29/2020,17,4,11,3,2
12/6/2020,15,4,12,3,3
